Age,Gender,Tenure,MonthlyCharges,Contract,PaymentMethod,TotalCharges,Churn,Prediction,Segment
45,0,72,18.59,0,0,1321.06,0,0,Loyal
77,0,26,123.94,2,2,3341.82,0,0,Loyal
33,0,31,64.98,0,0,1970.89,0,0,Loyal
32,0,43,123.26,0,1,5309.91,1,1,At Risk
79,0,11,132.11,1,3,1503.38,0,0,Dormant
79,1,60,109.56,0,2,6571.0,0,0,Loyal
64,1,21,20.63,0,1,410.7,0,0,Dormant
79,1,31,106.26,1,1,3292.82,0,0,Loyal
68,0,4,25.47,0,0,166.39,1,1,At Risk
61,1,65,80.54,0,2,5283.5,0,0,Loyal
72,0,13,146.73,0,3,1874.59,1,1,At Risk
69,1,55,54.36,1,2,3010.43,0,0,Loyal
74,1,15,16.82,1,1,243.95,0,0,Dormant
20,1,41,146.78,0,2,6087.21,1,1,At Risk
54,0,61,12.98,2,3,804.53,0,0,Loyal
68,0,48,46.84,2,2,2325.9,0,0,Loyal
24,1,38,84.07,2,2,3273.46,0,0,Loyal
38,0,67,84.6,2,2,5650.21,0,0,Loyal
26,1,27,53.01,0,2,1432.2,0,0,Loyal
56,0,60,99.99,2,1,6053.65,0,0,Loyal
35,0,5,121.2,0,0,622.13,1,1,At Risk
21,0,19,128.08,1,1,2497.12,0,0,Dormant
42,0,64,97.92,0,1,6256.8,0,0,Loyal
77,0,21,82.76,1,3,1661.72,0,0,Dormant
31,1,36,75.87,2,3,2766.55,0,0,Loyal
67,0,51,45.65,0,2,2188.85,0,0,Loyal
75,1,17,22.71,1,1,461.02,0,0,Dormant
26,1,23,38.08,1,2,874.03,0,0,Dormant
43,1,63,46.51,1,1,2909.08,0,0,Loyal
70,1,64,31.42,1,0,2043.03,0,0,Loyal
19,0,48,65.47,2,1,3163.3,0,0,Loyal
37,1,39,101.4,0,0,3995.06,0,0,Loyal
45,0,66,109.56,2,3,7203.52,0,0,Loyal
64,0,26,123.87,1,1,3151.6,0,0,Loyal
77,0,17,43.79,0,0,772.32,0,0,Dormant
24,1,35,59.02,0,2,2033.61,1,1,At Risk
61,1,67,137.28,0,3,9159.23,0,0,Loyal
78,0,72,85.8,1,3,6147.34,0,0,Loyal
25,0,22,80.4,1,2,1751.15,0,0,Dormant
64,0,3,28.74,0,0,195.98,0,0,Dormant
52,1,6,47.8,1,2,335.08,0,0,Dormant
31,0,51,34.12,2,3,1747.12,0,0,Loyal
34,0,65,74.7,0,2,4780.79,1,1,At Risk
53,0,67,131.89,0,0,8921.84,0,0,Loyal
67,0,14,116.05,0,2,1542.28,1,1,At Risk
57,0,29,13.73,0,3,375.93,0,0,Loyal
21,0,60,69.11,0,0,4029.69,0,0,Loyal
19,1,10,115.89,1,2,1183.52,1,1,At Risk
79,0,39,16.2,0,3,566.31,0,0,Loyal
23,0,21,129.78,0,3,2696.9,1,1,At Risk
71,1,33,118.99,2,3,3934.29,0,0,Loyal
59,1,49,49.77,0,3,2397.36,0,0,Loyal
21,0,13,37.83,0,1,461.4,1,1,At Risk
71,0,66,68.93,0,0,4518.97,1,0,Loyal
46,0,36,61.76,2,2,2303.37,0,0,Loyal
80,0,13,93.73,0,1,1265.5,0,0,Dormant
35,1,2,135.96,2,0,231.04,0,0,Dormant
43,0,2,33.79,1,1,16.04,0,0,Dormant
61,0,30,25.06,2,1,761.31,0,0,Loyal
51,1,34,43.53,0,2,1562.42,0,0,Loyal
27,1,36,67.53,0,2,2408.91,0,0,Loyal
79,1,39,49.75,1,0,1937.6,0,0,Loyal
53,1,26,98.48,1,0,2485.57,0,0,Loyal
31,0,56,118.17,2,0,6655.32,0,0,Loyal
48,1,63,66.6,1,2,4224.63,0,0,Loyal
65,1,32,69.34,1,1,2228.55,0,0,Loyal
32,1,52,130.15,2,0,6817.07,0,0,Loyal
25,0,28,128.43,2,3,3671.88,0,0,Loyal
31,1,12,95.64,0,2,1118.52,0,0,Dormant
40,1,16,51.44,1,0,821.03,0,0,Dormant
77,1,46,116.39,2,2,5295.75,1,1,At Risk
74,1,66,103.48,1,2,6823.12,0,0,Loyal
79,1,16,29.5,0,1,485.68,1,0,Dormant
57,0,2,42.57,0,0,30.78,1,1,At Risk
38,1,39,46.26,0,3,1835.93,0,0,Loyal
33,1,14,69.01,0,2,980.42,1,1,At Risk
62,1,20,53.0,2,2,1075.37,0,0,Dormant
35,0,31,89.56,0,2,2752.03,0,0,Loyal
64,1,14,148.24,0,2,2078.32,1,1,At Risk
70,2,59,72.44,2,3,4316.13,0,0,Loyal
41,0,41,144.63,1,3,6004.58,0,0,Loyal
43,1,50,19.55,1,3,906.89,0,0,Loyal
42,0,17,128.18,0,3,2180.25,0,1,At Risk
77,0,57,140.93,2,1,8067.86,1,1,At Risk
77,0,28,90.16,2,2,2520.21,0,0,Loyal
77,0,34,112.89,1,2,3818.67,0,0,Loyal
62,0,8,18.68,1,3,116.51,1,0,Dormant
58,1,46,74.15,1,3,3427.25,0,0,Loyal
46,0,10,81.33,0,1,841.48,1,1,At Risk
32,0,22,126.8,1,0,2785.58,0,0,Dormant
62,1,44,141.25,1,3,6283.47,1,1,At Risk
18,2,64,39.69,0,3,2573.79,1,1,At Risk
42,1,26,99.25,0,3,2542.89,1,0,Loyal
24,0,39,69.41,1,3,2677.1,0,0,Loyal
26,0,26,84.42,1,1,2215.78,0,0,Loyal
41,0,24,34.38,1,1,839.54,0,0,Dormant
18,0,50,72.03,2,1,3674.81,0,0,Loyal
61,0,40,80.73,0,2,3151.83,0,0,Loyal
25,1,45,37.19,1,1,1611.73,0,0,Loyal
41,0,52,99.54,0,2,5187.83,0,0,Loyal
80,1,40,135.46,0,1,5395.02,1,1,At Risk
28,1,30,41.51,2,2,1318.15,0,0,Loyal
68,0,52,122.72,1,2,6421.78,0,0,Loyal
34,1,16,96.9,0,3,1519.12,0,0,Dormant
25,1,56,94.09,0,3,5288.45,1,1,At Risk
52,0,41,134.85,0,2,5515.52,0,1,At Risk
52,1,38,81.59,0,3,3133.45,0,0,Loyal
50,1,7,18.78,0,2,260.91,1,1,At Risk
76,0,35,109.05,0,0,3806.81,1,1,At Risk
22,0,70,109.38,1,3,7680.28,0,0,Loyal
59,1,40,100.18,1,2,3973.92,1,1,At Risk
56,0,11,58.94,2,0,632.55,0,0,Dormant
75,2,31,28.2,0,1,861.55,0,0,Loyal
58,0,58,129.16,0,3,7441.72,0,0,Loyal
45,0,30,96.0,2,0,2897.67,0,0,Loyal
24,1,30,129.99,0,1,3822.28,1,1,At Risk
26,1,10,20.12,1,3,168.94,0,0,Dormant
25,0,2,77.14,0,0,163.32,0,0,Dormant
29,1,17,28.24,0,3,409.34,1,1,At Risk
51,0,60,66.68,2,1,3909.46,0,0,Loyal
50,0,1,78.66,2,3,106.67,0,0,Dormant
65,0,58,65.35,2,1,3752.79,0,0,Loyal
72,1,45,119.49,1,2,5307.56,0,0,Loyal
40,1,59,74.54,2,1,4417.96,0,0,Loyal
79,0,32,21.5,1,0,668.08,0,0,Loyal
41,0,38,131.1,0,2,4979.38,0,0,Loyal
54,0,60,38.47,0,0,2433.4,0,0,Loyal
52,1,44,95.9,0,2,4304.53,0,0,Loyal
61,0,68,28.2,2,2,1993.35,0,0,Loyal
57,0,59,85.13,0,1,4957.76,1,1,At Risk
39,1,3,26.8,0,1,99.52,1,1,At Risk
44,1,37,99.63,2,0,3714.96,0,0,Loyal
52,0,29,126.77,2,0,3652.75,1,1,At Risk
18,1,57,148.36,2,1,8381.84,0,0,Loyal
52,0,72,27.61,1,1,2008.03,0,0,Loyal
54,1,47,71.93,0,3,3326.69,0,0,Loyal
64,0,30,80.82,2,2,2492.69,0,0,Loyal
31,1,45,131.71,0,2,5837.86,1,1,At Risk
20,0,41,136.8,1,3,5622.28,0,0,Loyal
18,1,68,37.4,0,2,2567.98,0,0,Loyal
22,1,16,20.35,2,0,324.89,0,0,Dormant
43,1,24,108.5,2,1,2576.49,1,1,At Risk
72,1,46,146.92,0,0,6738.96,1,1,At Risk
80,1,29,47.73,2,0,1335.53,0,0,Loyal
31,1,46,53.76,0,3,2517.07,1,0,Loyal
56,1,13,127.23,0,0,1640.84,0,0,Dormant
44,1,35,142.85,0,2,5014.33,0,0,Loyal
26,2,66,33.29,1,3,2104.57,0,0,Loyal
32,1,10,100.47,2,3,907.67,1,1,At Risk
32,1,16,65.64,0,2,1113.73,0,0,Dormant
43,1,5,112.23,2,0,516.87,1,1,At Risk
59,0,32,26.02,1,0,783.01,0,0,Loyal
77,0,38,82.37,1,2,3170.33,0,0,Loyal
30,1,34,53.2,2,2,1776.34,0,0,Loyal
68,1,30,21.14,0,0,586.35,0,0,Loyal
80,0,27,11.82,0,0,394.7,0,0,Loyal
49,0,61,15.26,0,3,943.06,0,0,Loyal
56,0,45,92.02,1,1,4154.64,0,0,Loyal
66,1,16,82.56,0,3,1340.11,0,0,Dormant
69,0,65,127.25,2,3,8155.16,0,0,Loyal
78,1,2,91.03,2,1,145.01,1,1,At Risk
49,0,18,33.15,2,1,612.16,0,0,Dormant
21,1,14,21.03,0,2,255.42,0,0,Dormant
47,0,53,17.91,0,2,930.7,0,0,Loyal
54,0,57,35.31,2,1,2025.44,0,0,Loyal
40,0,49,103.07,1,2,5076.59,1,1,At Risk
56,0,18,34.92,0,1,594.64,0,0,Dormant
62,1,54,144.76,0,0,7809.66,1,1,At Risk
32,0,59,11.23,1,0,658.52,0,0,Loyal
60,0,32,140.11,1,2,4361.82,1,1,At Risk
46,1,46,141.24,0,0,6503.01,1,1,At Risk
53,1,69,135.93,0,1,9353.91,1,1,At Risk
30,0,20,54.26,0,0,1045.95,0,0,Dormant
49,0,50,65.0,0,0,3232.11,0,0,Loyal
24,0,18,34.5,0,1,651.03,1,1,At Risk
76,0,22,120.48,2,3,2679.32,1,1,At Risk
68,2,5,73.89,0,3,399.16,1,1,At Risk
39,0,69,66.44,1,3,4625.55,0,0,Loyal
45,1,49,107.65,0,1,5238.08,0,0,Loyal
19,1,33,66.44,0,3,2202.27,0,0,Loyal
59,1,41,40.41,1,0,1618.51,0,0,Loyal
62,1,8,93.44,1,3,803.0,1,1,At Risk
79,1,11,112.02,0,2,1185.41,1,1,At Risk
74,0,31,122.63,1,3,3757.77,1,1,At Risk
70,0,55,147.48,0,0,8091.33,1,1,At Risk
23,0,51,13.19,0,0,620.83,1,1,At Risk
45,1,62,26.96,0,2,1682.98,0,0,Loyal
45,0,21,70.17,1,2,1554.87,0,0,Dormant
61,0,26,55.76,2,2,1437.57,0,0,Loyal
61,1,13,62.27,0,3,880.39,0,0,Dormant
37,0,67,55.02,2,3,3670.16,0,0,Loyal
47,0,44,142.46,1,1,6376.73,0,0,Loyal
79,1,3,118.58,1,1,358.51,1,1,At Risk
28,2,20,95.09,0,0,1922.28,1,1,At Risk
75,0,6,64.37,0,1,437.61,1,1,At Risk
72,0,4,146.66,0,3,625.05,1,1,At Risk
45,1,23,74.93,0,0,1664.45,0,0,Dormant
42,1,5,127.43,1,2,746.11,1,1,At Risk
56,0,12,141.42,1,2,1702.71,0,0,Dormant
79,0,60,127.18,2,2,7596.62,0,0,Loyal
50,0,26,118.71,1,2,3095.84,0,0,Loyal
18,0,59,103.39,0,1,6068.78,0,0,Loyal
74,0,13,77.35,2,2,994.61,0,0,Dormant
44,1,9,42.69,1,0,374.48,0,0,Dormant
79,0,43,109.71,0,0,4714.72,1,1,At Risk
74,0,23,121.76,0,2,2788.21,1,1,At Risk
69,1,22,47.7,2,2,1173.39,0,0,Dormant
30,0,42,119.57,2,1,4926.1,0,0,Loyal
58,0,49,16.96,0,0,906.77,0,0,Loyal
20,1,32,15.55,0,3,538.02,0,0,Loyal
56,0,8,33.21,0,3,273.57,1,1,At Risk
23,0,21,108.5,1,1,2155.77,0,0,Dormant
25,0,65,42.87,2,2,2793.43,0,0,Loyal
44,1,27,99.04,0,3,2602.46,0,0,Loyal
26,2,18,68.83,1,3,1240.31,0,0,Dormant
79,1,45,38.85,0,1,1757.78,1,1,At Risk
54,0,49,99.69,0,2,4940.58,0,0,Loyal
50,1,49,80.07,1,3,3867.83,0,0,Loyal
68,1,5,65.17,0,3,305.89,1,1,At Risk
59,0,65,139.51,0,3,9116.49,0,0,Loyal
61,0,48,117.42,0,1,5656.31,1,1,At Risk
41,0,58,20.91,0,3,1177.68,0,0,Loyal
32,1,23,146.33,1,2,3368.22,0,0,Dormant
76,0,43,109.02,1,3,4670.49,0,0,Loyal
71,1,48,28.37,0,1,1336.11,0,0,Loyal
49,1,12,63.44,1,2,666.07,0,0,Dormant
49,0,33,141.2,2,3,4569.72,1,1,At Risk
41,1,72,50.39,0,3,3698.68,1,1,At Risk
58,1,8,66.68,0,0,473.9,1,1,At Risk
69,0,11,145.43,1,2,1591.54,1,1,At Risk
66,0,18,93.71,0,2,1679.65,0,0,Dormant
79,0,59,50.9,0,2,2908.57,0,0,Loyal
66,0,34,148.47,0,1,4953.95,1,0,Loyal
75,1,15,61.87,1,0,918.73,0,0,Dormant
69,1,60,76.55,0,2,4552.89,0,0,Loyal
29,0,68,56.77,1,2,3823.07,0,0,Loyal
79,1,48,77.48,0,2,3723.19,0,0,Loyal
56,0,56,96.28,2,2,5414.94,0,0,Loyal
19,1,62,133.67,0,2,8315.19,1,1,At Risk
20,0,32,122.63,2,0,3947.81,0,0,Loyal
66,1,44,76.28,0,2,3322.95,0,0,Loyal
54,1,5,77.79,0,2,408.0,1,1,At Risk
66,0,59,95.13,0,1,5660.57,0,0,Loyal
73,1,37,139.75,2,1,5154.78,0,0,Loyal
34,0,26,140.35,0,0,3661.78,0,0,Loyal
76,0,20,129.81,1,3,2574.62,0,0,Dormant
66,0,48,36.45,1,2,1780.39,0,0,Loyal
19,1,18,114.36,0,2,2106.36,0,0,Dormant
19,0,37,112.35,0,2,4274.04,1,1,At Risk
45,0,70,18.95,0,2,1371.62,0,0,Loyal
71,0,14,147.57,1,2,2032.17,0,0,Dormant
40,0,72,124.64,1,2,8958.66,1,1,At Risk
54,0,14,138.85,0,0,1855.07,1,1,At Risk
49,0,26,36.33,0,2,1000.37,0,0,Loyal
50,1,22,132.45,0,0,2917.94,1,1,At Risk
18,2,40,39.55,1,1,1624.92,0,0,Loyal
36,1,1,20.42,2,3,16.88,0,0,Dormant
79,2,15,64.9,0,0,1064.37,1,1,At Risk
19,1,18,114.02,0,3,2076.17,1,1,At Risk
70,1,29,94.83,1,3,2752.31,0,0,Loyal
61,0,7,86.35,0,2,530.4,1,1,At Risk
43,1,3,40.25,2,1,165.3,0,0,Dormant
49,1,15,74.59,1,1,1184.31,0,0,Dormant
23,0,2,118.76,2,1,291.15,1,1,At Risk
49,0,34,62.14,1,3,2081.92,0,0,Loyal
72,1,36,91.12,2,0,3248.17,0,0,Loyal
21,1,53,62.11,0,0,3268.7,0,0,Loyal
72,0,71,79.15,1,2,5568.81,0,0,Loyal
28,1,45,57.84,0,1,2642.89,1,1,At Risk
73,0,48,132.39,0,1,6298.35,1,1,At Risk
76,1,32,38.19,0,2,1241.74,0,0,Loyal
34,1,57,68.5,0,1,3884.98,0,1,At Risk
80,0,41,88.91,1,0,3668.08,0,0,Loyal
55,0,31,25.53,0,3,768.32,0,0,Loyal
41,0,2,79.8,2,3,67.97,0,0,Dormant
22,1,11,56.85,0,1,615.44,0,0,Dormant
69,0,66,53.39,0,3,3510.53,1,1,At Risk
51,0,72,109.86,0,0,7969.17,1,1,At Risk
23,0,61,142.08,2,3,8595.35,0,0,Loyal
39,0,62,43.91,0,2,2757.06,1,1,At Risk
28,2,3,129.5,1,1,350.94,1,1,At Risk
80,0,28,109.0,1,0,3052.5,0,0,Loyal
65,0,26,45.56,1,0,1132.39,0,0,Loyal
33,0,61,18.22,0,1,1114.96,0,0,Loyal
50,1,58,55.14,0,3,3120.46,0,0,Loyal
26,1,37,56.13,1,1,2003.52,0,0,Loyal
77,0,43,111.13,1,2,4734.0,1,0,Loyal
76,1,13,10.27,2,0,137.07,0,0,Dormant
23,1,20,23.39,1,1,501.85,0,0,Dormant
33,1,31,124.61,0,3,3876.42,1,1,At Risk
46,0,50,104.33,2,3,5271.55,0,0,Loyal
20,0,52,43.35,0,2,2313.55,0,0,Loyal
37,1,53,147.92,2,2,7798.17,0,0,Loyal
77,0,50,141.55,0,2,7147.9,0,0,Loyal
76,1,66,63.0,0,0,4168.51,0,0,Loyal
53,0,62,91.04,1,1,5709.11,0,0,Loyal
36,1,3,90.09,2,0,293.63,1,1,At Risk
43,0,48,53.38,0,1,2637.33,0,0,Loyal
20,1,50,144.48,0,0,7135.57,0,0,Loyal
80,0,45,80.98,2,1,3660.55,0,0,Loyal
36,1,1,19.58,0,2,9.45,0,1,At Risk
37,1,1,46.15,0,1,82.5,1,1,At Risk
49,0,66,148.17,0,1,9655.67,0,0,Loyal
24,1,28,10.17,0,2,316.37,0,0,Loyal
69,1,27,11.91,1,3,252.91,0,0,Loyal
58,1,57,71.26,0,3,4166.85,0,0,Loyal
50,1,72,32.57,1,1,2239.72,0,0,Loyal
57,0,25,124.03,0,3,3065.66,0,0,Loyal
56,1,13,106.87,1,1,1433.16,0,0,Dormant
35,1,4,88.2,0,1,340.51,1,1,At Risk
57,1,70,21.94,0,3,1527.47,0,0,Loyal
18,1,61,15.59,0,2,1007.32,0,0,Loyal
28,0,35,94.57,0,2,3254.82,0,0,Loyal
45,0,13,12.06,0,3,178.31,0,0,Dormant
74,1,72,49.84,0,3,3600.14,0,0,Loyal
42,0,35,47.22,1,2,1644.58,0,0,Loyal
67,0,58,22.48,2,2,1229.83,0,0,Loyal
40,1,62,30.47,0,0,1938.91,0,0,Loyal
48,0,42,77.32,1,2,3281.64,0,0,Loyal
47,0,29,43.12,0,2,1282.32,1,1,At Risk
59,0,6,88.76,0,2,499.47,1,1,At Risk
52,0,16,109.21,0,0,1846.49,0,0,Dormant
24,1,59,144.69,0,1,8544.11,1,1,At Risk
77,1,23,125.03,1,0,2921.38,0,0,Dormant
33,0,39,49.78,0,3,1957.11,0,0,Loyal
43,1,40,16.47,0,2,726.16,0,0,Loyal
65,1,32,108.29,2,3,3441.26,1,1,At Risk
74,0,3,64.94,1,0,170.23,1,0,Dormant
69,0,6,74.02,1,2,504.51,1,1,At Risk
77,1,4,84.74,1,1,345.83,0,0,Dormant
66,1,20,126.32,1,2,2512.11,1,1,At Risk
19,1,5,30.97,2,0,181.52,1,0,Dormant
18,1,42,103.94,1,3,4355.84,0,0,Loyal
65,0,14,123.34,0,1,1748.93,1,1,At Risk
79,2,3,32.15,1,3,149.66,0,0,Dormant
29,0,19,101.04,2,2,1905.27,0,0,Dormant
22,1,66,116.8,0,1,7626.3,1,0,Loyal
54,0,66,52.8,0,3,3372.75,0,0,Loyal
49,0,15,41.81,0,3,619.08,0,1,At Risk
76,0,72,135.51,0,0,9741.19,0,0,Loyal
72,0,30,82.2,0,3,2575.07,1,1,At Risk
26,0,49,56.62,0,1,2811.42,1,0,Loyal
58,0,55,41.19,0,3,2227.9,1,1,At Risk
52,1,57,140.61,2,2,8056.65,0,0,Loyal
36,0,33,81.55,1,0,2703.12,0,0,Loyal
65,0,68,131.7,0,2,9021.86,0,0,Loyal
33,0,10,126.95,2,2,1282.29,1,1,At Risk
20,0,1,66.51,2,2,80.1,0,0,Dormant
37,0,26,142.5,0,2,3729.53,1,1,At Risk
41,0,39,128.56,0,0,4986.51,0,0,Loyal
71,1,51,143.68,0,3,7258.72,1,1,At Risk
73,0,28,26.29,1,2,663.14,0,0,Loyal
50,0,59,120.47,0,2,7071.1,0,0,Loyal
41,0,61,84.46,2,1,5234.3,0,0,Loyal
69,1,9,84.8,1,2,773.65,0,0,Dormant
28,0,42,119.93,1,0,4939.98,0,0,Loyal
66,0,70,49.52,1,0,3484.72,0,0,Loyal
25,0,19,94.43,0,2,1783.42,0,0,Dormant
53,0,30,117.81,2,0,3543.16,0,0,Loyal
55,0,63,85.06,0,0,5288.43,0,0,Loyal
57,0,7,57.3,0,0,397.64,1,1,At Risk
37,1,32,139.7,2,2,4377.29,0,0,Loyal
79,0,9,40.03,2,2,399.29,1,1,At Risk
52,2,54,22.39,0,1,1191.43,0,0,Loyal
65,1,65,111.92,1,0,7315.89,0,0,Loyal
79,1,3,75.27,0,0,192.55,1,1,At Risk
42,0,22,66.93,0,0,1432.33,0,0,Dormant
52,1,69,47.69,2,2,3290.19,0,0,Loyal
42,1,71,33.91,1,0,2521.61,0,0,Loyal
46,0,34,27.65,0,1,928.47,0,0,Loyal
35,2,46,59.44,0,3,2779.77,0,0,Loyal
63,1,48,142.07,0,1,6764.01,1,1,At Risk
35,0,21,95.93,2,3,2013.37,0,0,Dormant
19,0,41,78.67,1,1,3179.64,0,0,Loyal
71,0,14,41.38,1,0,628.26,0,0,Dormant
52,1,30,110.8,0,0,3243.17,1,1,At Risk
33,0,23,26.97,0,2,672.25,1,1,At Risk
78,1,4,83.05,1,2,315.46,1,0,Dormant
58,0,24,38.95,2,1,983.62,0,0,Dormant
53,0,72,21.58,0,0,1658.9,0,0,Loyal
50,1,4,70.93,2,2,302.98,0,1,At Risk
21,1,32,41.76,0,0,1365.28,0,0,Loyal
50,1,41,54.42,0,2,2149.17,0,0,Loyal
31,0,12,40.34,1,2,394.93,0,0,Dormant
38,0,5,89.86,1,2,432.85,1,1,At Risk
65,0,27,109.74,0,1,2928.6,0,0,Loyal
37,1,11,25.89,1,2,178.99,1,1,At Risk
73,0,64,85.54,1,2,5529.34,0,0,Loyal
25,0,17,97.71,0,2,1730.37,0,0,Dormant
24,0,7,112.41,0,2,769.4,1,1,At Risk
20,1,40,101.46,2,3,4059.22,0,0,Loyal
34,0,8,74.37,1,3,609.14,0,0,Dormant
50,1,26,44.15,2,1,1177.18,0,0,Loyal
65,1,67,89.75,1,3,5993.06,0,0,Loyal
29,1,18,111.27,1,2,2112.07,1,0,Dormant
76,1,50,62.74,0,2,3196.13,0,0,Loyal
68,1,45,20.28,1,0,914.43,0,0,Loyal
39,0,7,25.39,1,1,174.44,0,0,Dormant
72,1,69,94.08,0,3,6493.62,0,0,Loyal
39,0,37,103.67,0,0,3822.54,0,0,Loyal
63,1,8,47.24,2,2,368.65,1,1,At Risk
47,0,1,58.13,0,2,80.17,0,0,Dormant
55,1,40,20.57,0,2,841.81,0,0,Loyal
55,0,17,24.65,2,0,392.09,0,0,Dormant
62,1,30,93.31,0,0,2753.3,1,1,At Risk
68,1,21,75.37,1,2,1535.27,0,0,Dormant
71,0,54,33.35,0,3,1830.19,1,1,At Risk
25,1,12,96.15,0,2,1168.29,1,1,At Risk
44,0,66,84.12,1,2,5559.0,0,0,Loyal
44,0,68,116.52,0,2,7965.46,0,0,Loyal
51,0,3,45.02,0,0,210.82,1,1,At Risk
38,1,29,11.56,0,2,231.4,0,0,Loyal
47,0,13,140.78,0,2,1808.6,1,1,At Risk
50,0,18,11.35,0,0,187.25,1,1,At Risk
45,1,22,58.58,0,2,1296.87,0,0,Dormant
64,1,63,136.91,0,1,8670.41,1,1,At Risk
50,1,64,55.65,0,2,3568.86,0,0,Loyal
22,1,31,54.13,2,2,1600.25,0,0,Loyal
77,0,56,120.12,0,2,6745.14,0,1,At Risk
78,0,24,31.0,0,0,671.78,0,0,Dormant
65,1,5,126.47,1,0,651.48,1,1,At Risk
36,1,8,118.98,1,2,903.5,1,1,At Risk
21,1,44,136.71,2,1,5888.04,0,0,Loyal
52,1,14,70.78,0,2,1003.71,1,1,At Risk
66,1,23,93.59,0,1,2137.04,0,0,Dormant
34,1,13,130.26,0,3,1694.22,1,1,At Risk
61,1,3,27.48,0,0,84.75,0,0,Dormant
45,0,10,36.83,0,2,288.38,1,1,At Risk
47,0,26,17.28,0,3,433.04,1,1,At Risk
46,0,59,140.2,1,1,8192.72,0,0,Loyal
63,0,28,69.1,0,0,1972.25,0,0,Loyal
70,1,46,105.73,0,1,4819.85,0,1,At Risk
23,0,42,46.98,2,0,1912.0,0,0,Loyal
52,1,11,42.92,1,2,477.42,0,0,Dormant
77,0,20,123.22,1,0,2474.9,0,0,Dormant
58,1,24,69.43,1,2,1691.15,0,0,Dormant
54,1,22,11.78,2,2,247.25,0,0,Dormant
41,1,9,66.57,2,1,526.79,1,1,At Risk
46,1,53,120.12,2,3,6390.38,0,0,Loyal
66,1,50,53.85,0,0,2685.13,1,1,At Risk
63,1,22,39.28,2,2,843.56,0,0,Dormant
70,0,31,115.88,2,0,3528.74,0,0,Loyal
48,1,20,123.75,0,3,2507.35,1,1,At Risk
52,0,49,60.03,1,3,2988.58,0,0,Loyal
77,0,61,85.36,2,2,5150.22,0,0,Loyal
50,1,52,89.27,2,3,4669.24,0,0,Loyal
69,0,9,108.43,0,2,898.2,1,1,At Risk
80,0,37,120.42,1,1,4443.03,0,0,Loyal
78,2,37,84.4,1,1,3113.14,0,0,Loyal
38,1,61,133.51,1,2,8214.54,0,1,At Risk
49,1,10,53.76,1,3,558.33,0,0,Dormant
40,0,57,132.94,0,2,7582.65,0,0,Loyal
50,1,65,61.29,2,2,3957.34,0,0,Loyal
20,1,64,16.2,0,0,1056.89,1,1,At Risk
35,1,21,109.93,0,2,2327.3,0,0,Dormant
42,0,56,124.82,0,2,7016.07,0,0,Loyal
59,1,57,47.69,0,2,2750.22,0,0,Loyal
48,0,32,134.79,0,0,4276.18,0,0,Loyal
71,1,34,53.39,0,1,1772.25,0,0,Loyal
